,CurTime,Last,Ask,Bid
1139,2023-06-09T16:39:50Z,242.46,242.48,242.43
1140,2023-06-09T16:40:00Z,242.74,242.79,242.74
1141,2023-06-09T16:40:10Z,242.62,242.64,242.62
1142,2023-06-09T16:40:20Z,242.395,242.42,242.37
1143,2023-06-09T16:40:30Z,242.26,242.27,242.23
1144,2023-06-09T16:40:40Z,242.05,242.09,242.05
1145,2023-06-09T16:40:50Z,242.31,242.31,242.27
1146,2023-06-09T16:41:00Z,242.42,242.42,242.39
1147,2023-06-09T16:41:10Z,242.75,242.77,242.73
1148,2023-06-09T16:41:20Z,243.02,243.03,242.98
1149,2023-06-09T16:41:30Z,243.13,243.15,243.11
1150,2023-06-09T16:41:40Z,243.232,243.26,243.23
1151,2023-06-09T16:41:50Z,243.26,243.29,243.26
1152,2023-06-09T16:42:00Z,243.348,243.36,243.34
1153,2023-06-09T16:42:10Z,243.51,243.53,243.49
1154,2023-06-09T16:42:20Z,243.6056,243.63,243.59
1155,2023-06-09T16:42:30Z,243.6934,243.72,243.69
1156,2023-06-09T16:42:40Z,243.705,243.72,243.69
1157,2023-06-09T16:42:50Z,243.88,243.9,243.87
1158,2023-06-09T16:43:00Z,243.9631,243.99,243.96
1159,2023-06-09T16:43:10Z,243.9699,243.98,243.93
1160,2023-06-09T16:43:20Z,243.9249,243.93,243.91
1161,2023-06-09T16:43:30Z,243.89,243.92,243.89
1162,2023-06-09T16:43:40Z,244.1261,244.14,244.12
1163,2023-06-09T16:43:50Z,244.0599,244.07,244.04
1164,2023-06-09T16:44:00Z,244.1341,244.15,244.12
1165,2023-06-09T16:44:10Z,243.955,243.97,243.94
1166,2023-06-09T16:44:20Z,244.1499,244.15,244.13
1167,2023-06-09T16:44:30Z,244.28,244.29,244.26
1168,2023-06-09T16:44:40Z,244.27,244.26,244.22
1169,2023-06-09T16:44:50Z,244.365,244.38,244.35
1170,2023-06-09T16:45:00Z,244.53,244.53,244.5
1171,2023-06-09T16:45:10Z,244.54,244.57,244.52
1172,2023-06-09T16:45:20Z,244.6282,244.63,244.6
1173,2023-06-09T16:45:30Z,244.32,244.33,244.29
1174,2023-06-09T16:45:40Z,244.3933,244.4,244.37
1175,2023-06-09T16:45:50Z,244.375,244.38,244.36
1176,2023-06-09T16:46:00Z,244.44,244.44,244.42
1177,2023-06-09T16:46:10Z,244.31,244.35,244.31
1178,2023-06-09T16:46:20Z,244.6,244.62,244.59
1179,2023-06-09T16:46:30Z,244.6968,244.7,244.67
1180,2023-06-09T16:46:40Z,244.6302,244.67,244.63
1181,2023-06-09T16:46:50Z,244.6383,244.63,244.6
1182,2023-06-09T16:47:00Z,244.67,244.68,244.66
1183,2023-06-09T16:47:10Z,244.53,244.54,244.51
1184,2023-06-09T16:47:20Z,244.5021,244.53,244.49
1185,2023-06-09T16:47:30Z,244.191,244.2,244.17
1186,2023-06-09T16:47:40Z,244.43,244.45,244.41
1187,2023-06-09T16:47:50Z,244.41,244.43,244.38
1188,2023-06-09T16:48:00Z,244.59,244.59,244.55
1189,2023-06-09T16:48:10Z,244.475,244.51,244.47
1190,2023-06-09T16:48:20Z,244.69,244.71,244.68
1191,2023-06-09T16:48:30Z,244.8601,244.9,244.86
1192,2023-06-09T16:48:40Z,244.895,244.91,244.88
1193,2023-06-09T16:48:50Z,244.96,244.97,244.94
1194,2023-06-09T16:49:00Z,245.1499,245.15,245.13
1195,2023-06-09T16:49:10Z,245.405,245.42,245.39
1196,2023-06-09T16:49:20Z,245.4599,245.47,245.44
1197,2023-06-09T16:49:30Z,245.4503,245.49,245.45
1198,2023-06-09T16:49:40Z,245.5599,245.59,245.56
1199,2023-06-09T16:49:50Z,245.6072,245.64,245.59
1200,2023-06-09T16:50:00Z,245.8,245.86,245.81
1201,2023-06-09T16:50:10Z,245.79,245.82,245.79
1202,2023-06-09T16:50:20Z,245.69,245.72,245.69
1203,2023-06-09T16:50:30Z,245.83,245.85,245.82
1204,2023-06-09T16:50:40Z,245.82,245.85,245.82
1205,2023-06-09T16:50:50Z,245.79,245.81,245.78
1206,2023-06-09T16:51:00Z,245.8506,245.89,245.85
1207,2023-06-09T16:51:10Z,245.985,246.0,245.97
1208,2023-06-09T16:51:20Z,246.24,246.27,246.24
1209,2023-06-09T16:51:30Z,246.01,246.03,245.99
1210,2023-06-09T16:51:40Z,245.8056,245.86,245.8
1211,2023-06-09T16:51:50Z,245.793,245.8,245.76
1212,2023-06-09T16:52:00Z,245.875,245.89,245.86
1213,2023-06-09T16:52:10Z,246.063,246.07,246.04
1214,2023-06-09T16:52:20Z,245.8519,245.89,245.85
1215,2023-06-09T16:52:30Z,245.735,245.76,245.71
1216,2023-06-09T16:52:40Z,245.79,245.84,245.79
1217,2023-06-09T16:52:50Z,245.84,245.86,245.82
1218,2023-06-09T16:53:00Z,245.8264,245.84,245.81
1219,2023-06-09T16:53:10Z,245.8406,245.86,245.84
1220,2023-06-09T16:53:20Z,245.77,245.79,245.75
1221,2023-06-09T16:53:30Z,245.485,245.5,245.47
1222,2023-06-09T16:53:40Z,245.4806,245.5,245.48
1223,2023-06-09T16:53:50Z,245.5479,245.57,245.53
1224,2023-06-09T16:54:00Z,245.47,245.48,245.46
1225,2023-06-09T16:54:10Z,245.38,245.39,245.35
1226,2023-06-09T16:54:20Z,245.4803,245.5,245.47
1227,2023-06-09T16:54:30Z,245.49,245.49,245.45
1228,2023-06-09T16:54:40Z,245.5999,245.6,245.57
1229,2023-06-09T16:54:50Z,245.69,245.7,245.68
1230,2023-06-09T16:55:00Z,245.6191,245.62,245.57
1231,2023-06-09T16:55:10Z,245.38,245.4,245.36
1232,2023-06-09T16:55:20Z,245.3701,245.39,245.36
1233,2023-06-09T16:55:30Z,245.34,245.37,245.33
1234,2023-06-09T16:55:40Z,245.385,245.41,245.37
1235,2023-06-09T16:55:50Z,245.3051,245.32,245.3
1236,2023-06-09T16:56:00Z,245.13,245.15,245.11
1237,2023-06-09T16:56:10Z,245.305,245.33,245.28
1238,2023-06-09T16:56:20Z,245.19,245.2,245.17
1239,2023-06-09T16:56:30Z,245.06,245.08,245.05
1240,2023-06-09T16:56:40Z,245.06,245.07,245.06
1241,2023-06-09T16:56:50Z,245.4,245.42,245.38
1242,2023-06-09T16:57:00Z,245.61,245.63,245.58
1243,2023-06-09T16:57:10Z,245.8587,245.87,245.84
1244,2023-06-09T16:57:20Z,245.6701,245.7,245.67
1245,2023-06-09T16:57:30Z,245.6,245.61,245.57
1246,2023-06-09T16:57:40Z,245.6457,245.66,245.63
1247,2023-06-09T16:57:50Z,245.74,245.75,245.73
1248,2023-06-09T16:58:00Z,245.735,245.75,245.72
1249,2023-06-09T16:58:10Z,245.68,245.72,245.68
1250,2023-06-09T16:58:20Z,245.7749,245.8,245.77
1251,2023-06-09T16:58:30Z,245.78,245.78,245.75
1252,2023-06-09T16:58:40Z,245.8,245.81,245.78
1253,2023-06-09T16:58:50Z,245.9398,245.93,245.9
1254,2023-06-09T16:59:00Z,245.8401,245.87,245.84
1255,2023-06-09T16:59:10Z,246.02,246.02,245.99
1256,2023-06-09T16:59:20Z,246.27,246.28,246.25
1257,2023-06-09T16:59:30Z,246.305,246.32,246.29
1258,2023-06-09T16:59:40Z,246.6201,246.64,246.62
1259,2023-06-09T16:59:50Z,246.6801,246.71,246.68
1260,2023-06-09T17:00:00Z,246.6158,246.65,246.61
1261,2023-06-09T17:00:10Z,246.67,246.69,246.65
1262,2023-06-09T17:00:20Z,246.5542,246.59,246.55
1263,2023-06-09T17:00:30Z,246.545,246.57,246.52
1264,2023-06-09T17:00:40Z,246.4791,246.48,246.44
1265,2023-06-09T17:00:50Z,246.45,246.46,246.44
1266,2023-06-09T17:01:00Z,246.29,246.34,246.29
1267,2023-06-09T17:01:10Z,246.38,246.38,246.36
1268,2023-06-09T17:01:20Z,246.209,246.21,246.19
1269,2023-06-09T17:01:30Z,246.34,246.37,246.34
1270,2023-06-09T17:01:40Z,246.2624,246.29,246.26
1271,2023-06-09T17:01:50Z,246.259,246.28,246.25
1272,2023-06-09T17:02:00Z,246.4013,246.44,246.4
1273,2023-06-09T17:02:10Z,246.27,246.26,246.21
1274,2023-06-09T17:02:20Z,246.14,246.18,246.13
1275,2023-06-09T17:02:30Z,246.02,246.05,246.02
1276,2023-06-09T17:02:40Z,246.095,246.11,246.08
1277,2023-06-09T17:02:50Z,246.1656,246.2,246.16
1278,2023-06-09T17:03:00Z,246.2,246.23,246.2
1279,2023-06-09T17:03:10Z,246.3145,246.32,246.29
1280,2023-06-09T17:03:20Z,246.3999,246.4,246.38
1281,2023-06-09T17:03:30Z,246.2999,246.33,246.31
1282,2023-06-09T17:03:40Z,246.1182,246.12,246.1
1283,2023-06-09T17:03:50Z,246.17,246.19,246.15
1284,2023-06-09T17:04:00Z,246.3,246.33,246.3
1285,2023-06-09T17:04:10Z,246.4336,246.45,246.41
1286,2023-06-09T17:04:20Z,246.5275,246.54,246.51
1287,2023-06-09T17:04:30Z,246.7199,246.72,246.7
1288,2023-06-09T17:04:40Z,246.6601,246.7,246.66
1289,2023-06-09T17:04:50Z,246.7201,246.73,246.7
1290,2023-06-09T17:05:00Z,246.6199,246.62,246.59
1291,2023-06-09T17:05:10Z,246.59,246.61,246.58
1292,2023-06-09T17:05:20Z,246.5715,246.59,246.57
1293,2023-06-09T17:05:30Z,246.5801,246.6,246.58
1294,2023-06-09T17:05:40Z,246.5274,246.55,246.52
