{'Time': '2023-07-31T14:12:30Z', 'BUY': 133.12, 'SELL': 133.11}
{'Time': '2023-07-31T14:12:40Z', 'SELL': 133.13, 'BUY': 133.14}
{'Time': '2023-07-31T14:12:50Z', 'SELL': 133.07, 'BUY': 133.09}
{'Time': '2023-07-31T14:13:00Z', 'SELL': 133.08, 'BUY': 133.09}
{'Time': '2023-07-31T14:13:10Z', 'BUY': 133.09, 'SELL': 133.08}
{'Time': '2023-07-31T14:13:20Z', 'BUY': 133.1, 'SELL': 133.08}
{'Time': '2023-07-31T14:13:30Z', 'BUY': 133.1, 'SELL': 133.09}
{'Time': '2023-07-31T14:13:40Z', 'SELL': 133.13, 'BUY': 133.14}
{'Time': '2023-07-31T14:13:50Z', 'SELL': 133.1, 'BUY': 133.12}
{'Time': '2023-07-31T14:14:00Z', 'SELL': 133.06, 'BUY': 133.08}
{'Time': '2023-07-31T14:14:10Z', 'SELL': 133.13, 'BUY': 133.14}
{'Time': '2023-07-31T14:14:20Z', 'SELL': 133.06, 'BUY': 133.08}
{'Time': '2023-07-31T14:14:30Z', 'BUY': 133.08, 'SELL': 133.06}
{'Time': '2023-07-31T14:14:40Z', 'BUY': 133.1, 'SELL': 133.09}
{'Time': '2023-07-31T14:14:50Z', 'SELL': 133.13, 'BUY': 133.14}
{'Time': '2023-07-31T14:15:00Z', 'BUY': 133.19, 'SELL': 133.18}
{'Time': '2023-07-31T14:15:10Z', 'BUY': 133.23, 'SELL': 133.21}
{'Time': '2023-07-31T14:15:20Z', 'BUY': 133.26, 'SELL': 133.25}
{'Time': '2023-07-31T14:15:30Z', 'SELL': 133.21, 'BUY': 133.23}
{'Time': '2023-07-31T14:15:40Z', 'BUY': 133.18, 'SELL': 133.17}
{'Time': '2023-07-31T14:15:50Z', 'BUY': 133.2, 'SELL': 133.19}
{'Time': '2023-07-31T14:16:00Z', 'BUY': 133.2, 'SELL': 133.19}
{'Time': '2023-07-31T14:16:10Z', 'BUY': 133.2, 'SELL': 133.19}
{'Time': '2023-07-31T14:16:20Z', 'BUY': 133.18, 'SELL': 133.17}
{'Time': '2023-07-31T14:16:30Z', 'SELL': 133.17, 'BUY': 133.19}
{'Time': '2023-07-31T14:16:40Z', 'SELL': 133.22, 'BUY': 133.24}
{'Time': '2023-07-31T14:16:50Z', 'BUY': 133.22, 'SELL': 133.21}
{'Time': '2023-07-31T14:17:00Z', 'BUY': 133.23, 'SELL': 133.22}
{'Time': '2023-07-31T14:17:10Z', 'SELL': 133.26, 'BUY': 133.27}
{'Time': '2023-07-31T14:17:20Z', 'SELL': 133.19, 'BUY': 133.2}
{'Time': '2023-07-31T14:17:30Z', 'BUY': 133.09, 'SELL': 133.07}
{'Time': '2023-07-31T14:17:40Z', 'SELL': 133.04, 'BUY': 133.06}
{'Time': '2023-07-31T14:17:50Z', 'SELL': 133.11, 'BUY': 133.12}
{'Time': '2023-07-31T14:18:00Z', 'SELL': 133.09, 'BUY': 133.1}
{'Time': '2023-07-31T14:18:10Z', 'SELL': 133.13, 'BUY': 133.14}
{'Time': '2023-07-31T14:18:20Z', 'SELL': 133.03, 'BUY': 133.04}
{'Time': '2023-07-31T14:18:30Z', 'SELL': 133.01, 'BUY': 133.02}
{'Time': '2023-07-31T14:18:40Z', 'BUY': 133.02, 'SELL': 133.01}
{'Time': '2023-07-31T14:18:50Z', 'SELL': 132.97, 'BUY': 132.99}
{'Time': '2023-07-31T14:19:00Z', 'SELL': 133.01, 'BUY': 133.02}
{'Time': '2023-07-31T14:19:10Z', 'BUY': 133.0, 'SELL': 132.99}
{'Time': '2023-07-31T14:19:20Z', 'BUY': 132.99, 'SELL': 132.98}
{'Time': '2023-07-31T14:19:30Z', 'SELL': 132.98, 'BUY': 133.02}
{'Time': '2023-07-31T14:19:40Z', 'BUY': 132.98, 'SELL': 132.96}
{'Time': '2023-07-31T14:19:50Z', 'SELL': 132.95, 'BUY': 132.97}
{'Time': '2023-07-31T14:20:00Z', 'SELL': 132.95, 'BUY': 132.97}
{'Time': '2023-07-31T14:20:10Z', 'SELL': 133.0, 'BUY': 133.01}
{'Time': '2023-07-31T14:20:20Z', 'BUY': 133.1, 'SELL': 133.09}
{'Time': '2023-07-31T14:20:30Z', 'BUY': 133.13, 'SELL': 133.12}
{'Time': '2023-07-31T14:20:40Z', 'BUY': 133.1, 'SELL': 133.07}
{'Time': '2023-07-31T14:20:50Z', 'SELL': 133.07, 'BUY': 133.08}
{'Time': '2023-07-31T14:21:00Z', 'SELL': 133.1, 'BUY': 133.11}
{'Time': '2023-07-31T14:21:10Z', 'SELL': 133.07, 'BUY': 133.08}
{'Time': '2023-07-31T14:21:20Z', 'SELL': 133.08, 'BUY': 133.09}
{'Time': '2023-07-31T14:21:30Z', 'SELL': 133.1, 'BUY': 133.11}
{'Time': '2023-07-31T14:21:40Z', 'BUY': 133.19, 'SELL': 133.18}
{'Time': '2023-07-31T14:21:50Z', 'SELL': 133.16, 'BUY': 133.17}
{'Time': '2023-07-31T14:22:00Z', 'SELL': 133.11, 'BUY': 133.12}
{'Time': '2023-07-31T14:22:10Z', 'BUY': 133.19, 'SELL': 133.16}
{'Time': '2023-07-31T14:22:20Z', 'SELL': 133.07, 'BUY': 133.08}
{'Time': '2023-07-31T14:22:30Z', 'SELL': 133.02, 'BUY': 133.04}
{'Time': '2023-07-31T14:22:40Z', 'BUY': 133.04, 'SELL': 133.02}
{'Time': '2023-07-31T14:22:50Z', 'SELL': 133.04, 'BUY': 133.06}
{'Time': '2023-07-31T14:23:00Z', 'BUY': 133.07, 'SELL': 133.05}
