Symbol,Last,Ask,AskSize,Bid,BidSize,Volume,TradeTime
GOOGL,122.975,123.02,200,122.75,400,31893924,2023-05-31T20:00:00Z
GOOGL,122.87,123.04,100,122.77,100,31985295,2023-05-31T20:00:01Z
GOOGL,,123.02,200,,,,
GOOGL,,,,,,32131048,2023-05-31T20:00:06Z
GOOGL,,,,,,32562986,2023-05-31T20:00:07Z
GOOGL,122.78,122.82,100,,,32563187,2023-05-31T20:00:08Z
GOOGL,122.7,122.74,200,122.7,500,32564973,2023-05-31T20:00:10Z
GOOGL,122.74,,400,,,32565273,2023-05-31T20:00:11Z
GOOGL,,,,,,32565275,
GOOGL,,,,,,32565475,2023-05-31T20:00:17Z
GOOGL,,,,,,32565525,
GOOGL,,,,,600,,
GOOGL,,122.72,100,,500,32565533,
GOOGL,,,,,,32565534,
GOOGL,122.87,123.02,,122.97,100,32641559,2023-05-31T20:00:23Z
GOOGL,,,,,,32641594,
GOOGL,,122.98,,122.92,200,32670078,2023-05-31T20:00:28Z
GOOGL,,,,,100,32670400,2023-05-31T20:00:29Z
GOOGL,,,,,200,32671558,2023-05-31T20:00:30Z
GOOGL,,,,,,32673077,2023-05-31T20:00:31Z
GOOGL,,,,,,32674384,2023-05-31T20:00:34Z
GOOGL,122.92,122.95,,122.87,300,32676143,2023-05-31T20:00:35Z
GOOGL,122.82,122.89,300,122.82,100,32676743,2023-05-31T20:00:41Z
GOOGL,,,,,,32676744,
GOOGL,,122.87,200,,,32676844,
GOOGL,122.97,123.1,300,122.95,,32678172,2023-05-31T20:00:46Z
GOOGL,123.03,123.17,100,123.1,300,32680850,2023-05-31T20:00:50Z
GOOGL,,,,,200,32680900,
GOOGL,122.87,123.15,200,,,33080900,2023-05-31T20:00:55Z
GOOGL,122.94,122.98,100,122.95,,33081637,2023-05-31T20:00:58Z
GOOGL,,123,200,122.94,,33081987,
GOOGL,123,123.03,100,122.97,300,33082239,2023-05-31T20:01:00Z
GOOGL,122.87,,,,,33082492,2023-05-31T20:01:01Z
GOOGL,,,200,,,33082515,
GOOGL,,,,,,33082537,
GOOGL,123.08,123.31,500,123.18,100,33084017,2023-05-31T20:01:04Z
GOOGL,123.09,123.11,100,123.07,,33084348,2023-05-31T20:01:05Z
GOOGL,122.9,122.97,,122.9,,33087606,2023-05-31T20:01:06Z
GOOGL,,,,,,33087607,
GOOGL,122.98,123.02,,122.96,,33087931,2023-05-31T20:01:08Z
GOOGL,,123,200,,,,
GOOGL,,,,,,33087948,
GOOGL,122.87,,,,,33320446,2023-05-31T20:01:24Z
GOOGL,,,,,,33320448,
GOOGL,,,,,,33385093,2023-05-31T20:01:34Z
GOOGL,123,123.02,100,,,33385303,
GOOGL,123.02,123.04,,123,,33385514,2023-05-31T20:01:36Z
GOOGL,,,,,,33385724,
GOOGL,122.87,,,,,33385853,2023-05-31T20:01:37Z
GOOGL,,,,,,33385909,
GOOGL,,,,,,33385919,
GOOGL,,,,122.96,,33385965,
GOOGL,,,,,400,,
GOOGL,,,,,,33386129,
GOOGL,,,,,,33386149,
GOOGL,,,,,,33386168,
GOOGL,,,1000,,,,
GOOGL,,123.03,200,122.98,100,,
GOOGL,,,,,300,33386176,
GOOGL,,,,,,33386177,
GOOGL,,,,,,33388277,2023-05-31T20:02:13Z
GOOGL,,,,,,33388302,
GOOGL,,,,,,33388303,
GOOGL,122.98,,,,200,33388503,2023-05-31T20:02:23Z
GOOGL,122.87,,,,,33388619,2023-05-31T20:02:25Z
GOOGL,,,,,300,,
GOOGL,,,,122.96,400,33388624,
GOOGL,122.94,123.02,300,122.98,100,33389153,2023-05-31T20:02:33Z
GOOGL,,,,122.97,,33389154,
GOOGL,,,,122.96,200,33389156,
GOOGL,,,,122.98,100,33389181,
GOOGL,122.87,,,,,33413709,2023-05-31T20:02:44Z
GOOGL,122.98,,,122.99,,33413809,2023-05-31T20:02:46Z
GOOGL,,,,,,33413811,
GOOGL,122.87,,,,,33423211,2023-05-31T20:02:48Z
GOOGL,,,,122.98,200,33423212,
GOOGL,,,,122.97,,33424969,2023-05-31T20:02:56Z
GOOGL,,,,122.87,300,,
GOOGL,,,,122.91,200,,
GOOGL,,,,,,33427429,2023-05-31T20:03:07Z
GOOGL,,,,,,33427436,
GOOGL,,,,122.92,,,
GOOGL,,,,,,33427437,
GOOGL,,,,122.91,,33427446,
GOOGL,,,,122.94,100,,
GOOGL,,,,,,33427609,2023-05-31T20:03:37Z
GOOGL,,,,,,33429409,2023-05-31T20:03:41Z
GOOGL,,123.15,400,123.02,,33482552,2023-05-31T20:03:45Z
GOOGL,,,,,,33533253,2023-05-31T20:03:47Z
GOOGL,,,,,,33577253,2023-05-31T20:03:48Z
GOOGL,,,,123.03,300,,
GOOGL,,123.19,300,123.1,,33577258,
GOOGL,,,,,,33577262,
GOOGL,,,,,,33579092,2023-05-31T20:04:01Z
GOOGL,,,,,,33681561,2023-05-31T20:04:02Z
GOOGL,,,,,,33726742,2023-05-31T20:04:04Z
GOOGL,,,,,,33726743,
GOOGL,122.8731,,,,,33727740,2023-05-31T20:04:06Z
GOOGL,122.87,,,,,33732413,2023-05-31T20:04:07Z
GOOGL,122.8731,,,,,33733612,2023-05-31T20:04:09Z
GOOGL,122.87,,,,,33743492,2023-05-31T20:04:10Z
GOOGL,122.8761,,,,,33774153,2023-05-31T20:04:11Z
GOOGL,,,,,,33778376,2023-05-31T20:04:12Z
GOOGL,,,,,,33779832,2023-05-31T20:04:13Z
GOOGL,,,,,,33779874,
GOOGL,,,,,,33846141,2023-05-31T20:04:15Z
GOOGL,,,,,,33847198,2023-05-31T20:04:16Z
GOOGL,,,,,,33847689,
GOOGL,122.8639,,,,,33864998,2023-05-31T20:04:18Z
GOOGL,123.1,123.17,100,123.05,400,33867012,2023-05-31T20:04:19Z
GOOGL,122.8761,123.19,300,,,33870260,2023-05-31T20:04:20Z
GOOGL,,,,,,33949285,
GOOGL,122.87,,,,,33971676,2023-05-31T20:04:23Z
GOOGL,122.8761,,,,,33973526,
GOOGL,,,,123.07,100,33976747,2023-05-31T20:04:25Z
GOOGL,123.19,,,123.13,300,34084955,2023-05-31T20:04:26Z
GOOGL,122.87,,,,,34092628,2023-05-31T20:04:27Z
GOOGL,122.8761,123.18,100,,,34095284,2023-05-31T20:04:28Z
GOOGL,122.87,,,123.14,100,34185408,2023-05-31T20:04:29Z
GOOGL,,,,,,34190550,2023-05-31T20:04:30Z
GOOGL,,,,,,34266549,2023-05-31T20:04:31Z
GOOGL,123.14,123.16,300,123.09,300,34266660,
GOOGL,122.87,,,,,34279411,2023-05-31T20:04:33Z
GOOGL,,123.15,100,,,34346671,2023-05-31T20:04:35Z
GOOGL,,,,,,34395415,2023-05-31T20:04:36Z
GOOGL,,,,,,34409788,2023-05-31T20:04:37Z
GOOGL,,,,,,34654882,2023-05-31T20:04:38Z
GOOGL,,,,,,34668691,2023-05-31T20:04:39Z
GOOGL,,123.16,300,,,34911208,2023-05-31T20:04:40Z
GOOGL,,,,,,34914471,2023-05-31T20:04:41Z
GOOGL,,123.09,,123.02,200,34914486,
GOOGL,,,,,,34915060,2023-05-31T20:04:43Z
GOOGL,,,,,,34917234,2023-05-31T20:04:47Z
GOOGL,,,,,,34922211,2023-05-31T20:04:49Z
GOOGL,,,,,300,,
