,Buy Threshold,Sell Threshold,2023-06-08,2023-06-09,2023-06-12,2023-06-13,2023-06-14,2023-06-15,2023-06-16,2023-06-20,2023-06-21,2023-06-22,2023-06-23,Sum
205,0.24,0.225,-1.3900000000000148,0.12999999999999545,-0.21000000000000796,-2.680000000000007,2.0,-1.0299999999999727,-0.18000000000000682,-1.4099999999999682,3.6100000000000136,-5.759999999999991,-1.6800000000000637,-8.600000000000023
637,0.22,0.065,-1.3900000000000148,0.12999999999999545,-0.21000000000000796,-2.680000000000007,2.0,-1.0299999999999727,-0.18000000000000682,-1.4099999999999682,3.6100000000000136,-5.759999999999991,-1.6800000000000637,-8.600000000000023
636,0.22,0.07,-1.3900000000000148,0.12999999999999545,-0.21000000000000796,-2.680000000000007,2.0,-1.0299999999999727,-0.18000000000000682,-1.4099999999999682,3.6100000000000136,-5.759999999999991,-1.6800000000000637,-8.600000000000023
206,0.24,0.22,-1.3900000000000148,0.12999999999999545,-0.21000000000000796,-2.680000000000007,2.0,-1.0299999999999727,-0.18000000000000682,-1.4099999999999682,3.6100000000000136,-5.759999999999991,-1.6800000000000637,-8.600000000000023
207,0.24,0.215,-1.3900000000000148,0.12999999999999545,-0.21000000000000796,-2.680000000000007,2.0,-1.0299999999999727,-0.18000000000000682,-1.4099999999999682,3.6100000000000136,-5.759999999999991,-1.6800000000000637,-8.600000000000023
208,0.24,0.21,-1.3900000000000148,0.12999999999999545,-0.21000000000000796,-2.680000000000007,2.0,-1.0299999999999727,-0.18000000000000682,-1.4099999999999682,3.6100000000000136,-5.759999999999991,-1.6800000000000637,-8.600000000000023
209,0.24,0.20500000000000002,-1.3900000000000148,0.12999999999999545,-0.21000000000000796,-2.680000000000007,2.0,-1.0299999999999727,-0.18000000000000682,-1.4099999999999682,3.6100000000000136,-5.759999999999991,-1.6800000000000637,-8.600000000000023
210,0.24,0.2,-1.3900000000000148,0.12999999999999545,-0.21000000000000796,-2.680000000000007,2.0,-1.0299999999999727,-0.18000000000000682,-1.4099999999999682,3.6100000000000136,-5.759999999999991,-1.6800000000000637,-8.600000000000023
211,0.24,0.195,-1.3900000000000148,0.12999999999999545,-0.21000000000000796,-2.680000000000007,2.0,-1.0299999999999727,-0.18000000000000682,-1.4099999999999682,3.6100000000000136,-5.759999999999991,-1.6800000000000637,-8.600000000000023
212,0.24,0.19,-1.3900000000000148,0.12999999999999545,-0.21000000000000796,-2.680000000000007,2.0,-1.0299999999999727,-0.18000000000000682,-1.4099999999999682,3.6100000000000136,-5.759999999999991,-1.6800000000000637,-8.600000000000023
213,0.24,0.185,-1.3900000000000148,0.12999999999999545,-0.21000000000000796,-2.680000000000007,2.0,-1.0299999999999727,-0.18000000000000682,-1.4099999999999682,3.6100000000000136,-5.759999999999991,-1.6800000000000637,-8.600000000000023
214,0.24,0.18,-1.3900000000000148,0.12999999999999545,-0.21000000000000796,-2.680000000000007,2.0,-1.0299999999999727,-0.18000000000000682,-1.4099999999999682,3.6100000000000136,-5.759999999999991,-1.6800000000000637,-8.600000000000023
215,0.24,0.175,-1.3900000000000148,0.12999999999999545,-0.21000000000000796,-2.680000000000007,2.0,-1.0299999999999727,-0.18000000000000682,-1.4099999999999682,3.6100000000000136,-5.759999999999991,-1.6800000000000637,-8.600000000000023
216,0.24,0.16999999999999998,-1.3900000000000148,0.12999999999999545,-0.21000000000000796,-2.680000000000007,2.0,-1.0299999999999727,-0.18000000000000682,-1.4099999999999682,3.6100000000000136,-5.759999999999991,-1.6800000000000637,-8.600000000000023
217,0.24,0.16499999999999998,-1.3900000000000148,0.12999999999999545,-0.21000000000000796,-2.680000000000007,2.0,-1.0299999999999727,-0.18000000000000682,-1.4099999999999682,3.6100000000000136,-5.759999999999991,-1.6800000000000637,-8.600000000000023
218,0.24,0.16,-1.3900000000000148,0.12999999999999545,-0.21000000000000796,-2.680000000000007,2.0,-1.0299999999999727,-0.18000000000000682,-1.4099999999999682,3.6100000000000136,-5.759999999999991,-1.6800000000000637,-8.600000000000023
219,0.24,0.155,-1.3900000000000148,0.12999999999999545,-0.21000000000000796,-2.680000000000007,2.0,-1.0299999999999727,-0.18000000000000682,-1.4099999999999682,3.6100000000000136,-5.759999999999991,-1.6800000000000637,-8.600000000000023
220,0.24,0.15,-1.3900000000000148,0.12999999999999545,-0.21000000000000796,-2.680000000000007,2.0,-1.0299999999999727,-0.18000000000000682,-1.4099999999999682,3.6100000000000136,-5.759999999999991,-1.6800000000000637,-8.600000000000023
221,0.24,0.14500000000000002,-1.3900000000000148,0.12999999999999545,-0.21000000000000796,-2.680000000000007,2.0,-1.0299999999999727,-0.18000000000000682,-1.4099999999999682,3.6100000000000136,-5.759999999999991,-1.6800000000000637,-8.600000000000023
222,0.24,0.14,-1.3900000000000148,0.12999999999999545,-0.21000000000000796,-2.680000000000007,2.0,-1.0299999999999727,-0.18000000000000682,-1.4099999999999682,3.6100000000000136,-5.759999999999991,-1.6800000000000637,-8.600000000000023
223,0.24,0.135,-1.3900000000000148,0.12999999999999545,-0.21000000000000796,-2.680000000000007,2.0,-1.0299999999999727,-0.18000000000000682,-1.4099999999999682,3.6100000000000136,-5.759999999999991,-1.6800000000000637,-8.600000000000023
224,0.24,0.13,-1.3900000000000148,0.12999999999999545,-0.21000000000000796,-2.680000000000007,2.0,-1.0299999999999727,-0.18000000000000682,-1.4099999999999682,3.6100000000000136,-5.759999999999991,-1.6800000000000637,-8.600000000000023
225,0.24,0.125,-1.3900000000000148,0.12999999999999545,-0.21000000000000796,-2.680000000000007,2.0,-1.0299999999999727,-0.18000000000000682,-1.4099999999999682,3.6100000000000136,-5.759999999999991,-1.6800000000000637,-8.600000000000023
201,0.24,0.245,-1.3900000000000148,0.12999999999999545,-0.21000000000000796,-2.680000000000007,2.0,-1.0299999999999727,-0.18000000000000682,-1.4099999999999682,3.6100000000000136,-5.759999999999991,-1.6800000000000637,-8.600000000000023
204,0.24,0.23,-1.3900000000000148,0.12999999999999545,-0.21000000000000796,-2.680000000000007,2.0,-1.0299999999999727,-0.18000000000000682,-1.4099999999999682,3.6100000000000136,-5.759999999999991,-1.6800000000000637,-8.600000000000023
136,0.245,0.07,-1.3900000000000148,0.12999999999999545,-0.21000000000000796,-2.680000000000007,2.0,-1.0299999999999727,-0.18000000000000682,-1.4099999999999682,3.6100000000000136,-5.759999999999991,-1.6800000000000637,-8.600000000000023
137,0.245,0.065,-1.3900000000000148,0.12999999999999545,-0.21000000000000796,-2.680000000000007,2.0,-1.0299999999999727,-0.18000000000000682,-1.4099999999999682,3.6100000000000136,-5.759999999999991,-1.6800000000000637,-8.600000000000023
4513,0.024999999999999994,0.185,-1.6000000000000227,0.4199999999999875,-0.21000000000000796,-2.8600000000000136,2.0299999999999727,-1.0299999999999727,-0.18000000000000682,-1.4099999999999682,3.7999999999999545,-5.7900000000000205,-1.7700000000000387,-8.600000000000136
3240,0.09,0.04999999999999999,-1.6000000000000512,0.4300000000000068,-0.21000000000000796,-3.0,2.0,-1.099999999999966,-0.18000000000000682,-1.579999999999984,4.219999999999914,-5.810000000000002,-1.7700000000000955,-8.600000000000193
